 INFO  Accepting connections at http://localhost:3000
 HTTP  8/28/2025 6:49:06 PM 127.0.0.1 GET /dashboard
 HTTP  8/28/2025 6:49:06 PM 127.0.0.1 Returned 304 in 20 ms
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 GET /static/js/main.f5ff4acc.js
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 GET /static/css/main.7e238cd3.css
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 Returned 304 in 4 ms
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 Returned 304 in 11 ms
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 GET /static/js/903.0d1d9a98.chunk.js
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 GET /static/js/690.af919b67.chunk.js
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 GET /static/js/479.8d63b14a.chunk.js
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 Returned 304 in 5 ms
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 Returned 304 in 3 ms
 HTTP  8/28/2025 6:49:07 PM 127.0.0.1 Returned 304 in 8 ms
